Name,Current Club,Position,Age,ca,pa,Nationality,Club,Loan Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off the ball,Positioning,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Consistency,Dirtiness,Important Matches,Injury Proneness,Versatility,Aerial Reach,Command Of Area,Communication,Eccentricity,Handling,Kicking,One On Ones,Reflexes,Rushing Out(Tendency),Puching(Tendency),Throwing,Adaptability,Ambition,Controversy,Loyalty,Pressure,Professionalism,Sportsmanship,Temperament,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,Height,Weight,Left Foot,Right Foot,Reputation,Home Reputation,World Reputation,RCA,D.O.B,International Appearances,International Goal,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Shooting Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Alex Scott,Bournemouth,DM/M/AM RC,19,132,180,"England,Northern Ireland",Bournemouth,,5,12,14,11,14,6,8,9,4,8,13,7,12,13,12,14,12,15,11,14,13,18,15,9,15,13,14,15,13,15,14,8,12,14,14,9,11,8,13,7,13,3,1,2,2,2,3,2,1,3,3,3,10,10,8,15,10,13,14,13,1,1,1,1,1,14,18,1,20,1,1,20,16,1,178,69,8,20,6600,6600,4250,126,2003/8/21,0,0,11,13,13.5,14,13.7,13.7,8,13.7,1.5,13,13.5,13.7,1.5,2,2.5,3
Milo? Kerkez,Bournemouth,D/WB/M L,19,130,170,"Hungary,Serbia",Bournemouth,,6,12,13,7,12,8,5,10,10,11,12,7,14,13,15,14,16,13,12,11,11,16,12,7,14,10,15,17,15,14,12,10,15,15,14,11,12,10,13,4,12,4,4,3,2,4,2,3,3,1,3,2,12,15,7,8,9,13,12,5,1,20,1,13,20,10,1,17,1,1,12,1,1,1,176,71,20,7,6500,6500,4750,122,2003/11/7,8,0,11.7,12.8,15,11.7,11.3,12.7,7.5,14,3,12.8,15,14,3.5,2,4,2
Illia Zabarnyi,Bournemouth,D C,20,132,165,Ukraine,Bournemouth,,3,3,9,5,11,4,13,5,5,13,11,6,15,11,10,14,13,15,15,10,14,14,6,9,8,14,16,13,13,12,15,15,15,14,15,14,14,2,18,3,12,2,3,2,3,1,1,2,3,2,3,3,13,15,3,15,16,14,14,16,1,1,20,5,1,1,1,1,1,1,1,1,1,1,186,81,8,20,6450,6450,5000,132,2002/9/1,27,1,14,14,13.5,9,9.3,10.3,14,14.3,2.5,14,13.5,14.3,2.5,3,1.5,2
David Brooks,Bournemouth,M/AM RC,26,132,164,"Wales,England",Bournemouth,,9,11,15,13,14,10,8,8,4,7,14,8,9,15,6,14,6,14,9,15,13,14,18,5,15,8,12,15,14,16,15,6,11,15,12,7,12,3,9,10,6,3,3,3,3,2,1,3,2,3,2,1,10,16,4,14,14,14,13,13,1,1,1,1,1,1,1,1,13,18,1,20,20,13,173,65,20,9,6600,7000,5500,130,1997/7/8,22,2,8,12.5,14.5,15.7,14,14.7,7,11.3,2.5,12.5,14.5,11.3,3,3,2.5,1
Max Aarons,Bournemouth,D/WB R,23,130,160,"England,Jamaica",Bournemouth,,4,9,14,5,13,6,9,7,6,12,12,5,14,14,8,13,11,16,13,12,13,17,11,6,12,12,15,16,15,15,15,7,15,15,15,9,15,2,14,3,14,4,4,1,2,3,3,2,1,1,1,3,16,15,4,16,14,16,13,16,1,14,1,20,13,16,1,1,1,1,1,1,1,1,169,63,10,20,6500,6500,5750,128,2000/1/4,0,0,12.7,13.5,15,11.7,11,13.7,8,13.7,1.5,13.5,15,13.7,2.5,2,3.5,3
Hamed Traorè,Bournemouth,AM LC,23,140,159,Ivory Coast,Bournemouth,,12,12,15,14,16,11,4,13,4,6,14,11,8,15,12,13,11,13,11,14,13,14,16,10,15,7,14,13,13,16,15,4,14,13,12,10,12,9,13,8,15,2,2,3,3,1,3,1,3,1,2,2,18,16,6,12,11,15,14,16,1,1,1,1,1,1,1,1,15,1,18,20,1,1,177,77,15,20,7000,6500,5500,140,2000/2/16,5,0,7,13.3,13,14.7,14,15.3,4,12.7,2,13.3,13,12.7,2.5,3,1.5,2.5
Neto,Bournemouth,GK,34,146,156,"Brazil,Italy",Bournemouth,,4,3,1,3,10,6,6,3,2,1,11,7,2,9,7,16,12,16,15,11,13,15,6,12,3,16,12,13,12,15,15,15,14,13,14,15,12,7,14,6,12,13,14,14,8,13,10,14,16,14,13,12,14,14,8,11,16,14,13,13,20,1,1,1,1,1,1,1,1,1,1,1,1,1,190,84,7,20,7300,7250,6500,146,1989/7/19,1,0,6.3,14.8,12.5,9.3,7.3,6.7,10.5,13.8,15,14.8,12.5,13.8,14,8,13,11
Justin Kluivert,Bournemouth,M/AM RL,24,139,155,"The Netherlands,Suriname",Bournemouth,,9,10,16,11,16,8,7,12,2,3,14,10,6,16,16,9,13,11,10,11,10,15,15,7,12,6,11,12,17,17,11,7,12,16,11,8,12,14,14,11,14,2,2,1,1,1,3,3,3,2,3,2,13,16,13,9,13,14,12,12,1,1,1,1,1,1,1,16,1,15,20,14,18,13,172,66,14,20,6950,6750,5750,132,1999/5/5,2,0,5,11.8,16.5,13.3,11.3,16,7,11.3,3,11.8,16.5,11.3,1.5,1,1.5,2.5
Lewis Cook,Bournemouth,DM/M C,26,133,155,England,Bournemouth,,11,10,13,10,14,5,6,9,3,7,15,7,14,14,14,13,14,15,13,14,13,15,13,14,12,12,15,16,13,14,15,8,16,12,15,13,14,8,13,2,13,1,2,2,2,2,3,3,4,2,2,2,13,13,2,13,12,16,12,13,1,1,1,1,1,1,20,1,20,1,1,12,1,1,176,71,10,20,6600,6600,5250,132,1997/2/3,1,0,11,14.3,12.5,14,12.3,13.7,7,13.8,3.5,14.3,12.5,13.8,2,2,1.5,2.5
Lloyd Kelly,Bournemouth,D LC,24,131,153,England,Bournemouth,,7,12,10,6,11,5,13,6,12,14,13,7,13,12,10,13,12,14,11,9,14,13,6,13,9,13,13,13,13,13,14,14,11,14,14,13,12,10,12,7,11,3,3,2,1,2,2,2,2,3,2,1,10,9,4,14,12,12,15,13,1,19,20,1,10,1,1,1,1,1,1,1,1,1,191,86,20,9,6550,6550,5000,131,1998/10/1,0,0,13.3,13.5,13.5,9.3,9.7,11,13.5,12.7,2,13.5,13.5,12.7,2.5,1,2.5,1.5
Tyler Adams,Bournemouth,DM/M RC,24,142,151,United States,Bournemouth,,5,10,11,6,13,5,8,8,11,13,13,5,15,12,16,15,15,12,13,12,12,15,9,13,12,14,15,18,14,14,14,10,17,13,17,12,13,12,15,7,16,1,1,3,2,2,2,3,3,2,2,4,15,16,4,11,13,15,16,12,1,12,1,15,12,15,18,1,20,10,1,1,10,1,175,72,12,20,7100,7100,6550,134,1999/2/14,36,1,14,14.3,13.5,11.3,10,12,9,14.2,3,14.3,13.5,14.2,2,2,1.5,3
Dominic Solanke,Bournemouth,S ,25,138,150,"England,Nigeria",Bournemouth,,5,10,12,14,14,8,12,10,7,7,11,14,8,15,13,13,13,14,11,11,12,12,12,5,15,9,14,17,14,12,13,14,17,14,15,14,13,8,12,8,7,3,4,2,1,1,1,3,3,3,2,2,12,15,6,10,11,12,12,12,1,1,1,1,1,1,1,1,1,1,8,12,1,20,187,74,12,20,6900,6900,5750,138,1997/9/14,1,0,8,13.5,14,11.3,14.3,13.7,13,12.5,3,13.5,14,12.5,3,1,2,1.5
Dango Ouattara,Bournemouth,AM/S R,21,129,148,Burkina Faso,Bournemouth,,8,12,14,12,12,12,8,10,5,10,13,4,10,14,8,11,8,11,10,13,12,13,12,7,12,8,14,14,15,14,12,9,15,15,13,9,13,7,13,7,11,1,3,2,1,2,2,3,2,3,1,2,12,14,6,12,10,15,12,13,1,1,1,1,1,1,1,12,1,14,14,1,20,17,177,68,20,8,6450,6750,5400,124,2002/2/11,14,6,9.3,12,15,12.7,11.7,13.3,8.5,11.3,2.5,12,15,11.3,2.5,1,1.5,2
Marcos Senesi,Bournemouth,D C,26,135,147,"Argentina,Italy",Bournemouth,,6,10,10,8,13,7,14,7,6,14,14,6,14,14,10,14,14,13,12,14,13,13,11,13,10,14,15,15,14,11,14,15,14,11,15,12,13,12,13,6,7,2,3,1,2,1,3,4,2,2,2,2,14,13,8,13,13,15,14,14,1,10,20,1,1,1,1,1,1,1,1,1,1,1,184,80,20,10,6850,6400,5550,135,1997/5/10,1,0,14,13,12.5,13,10.3,12.3,14.5,13.5,3,13,12.5,13.5,2,2,1.5,2.5
Marcus Tavernier,Bournemouth,AM RLC,24,135,145,England,Bournemouth,,13,11,15,10,13,11,6,11,6,10,12,10,8,13,10,10,11,10,9,10,10,12,14,10,13,10,13,15,15,13,13,10,10,14,15,10,12,7,11,8,17,1,2,1,3,1,1,2,4,2,2,2,12,14,9,11,11,10,10,12,1,1,1,1,15,13,1,12,15,10,17,20,15,1,178,0,20,12,6700,6700,5400,121,1999/3/22,0,0,9.3,12.8,14.5,12,11,13.7,8,10.8,3,12.8,14.5,10.8,1.5,3,1,1.5
Ryan Christie,Bournemouth,M/AM RLC,28,132,145,Scotland,Bournemouth,,11,12,14,11,14,12,5,13,1,5,13,11,7,14,10,15,7,12,11,15,12,12,15,8,15,9,12,16,13,14,12,9,15,14,14,11,15,6,14,6,10,2,3,2,1,2,4,2,2,3,4,2,10,14,8,14,10,14,14,13,1,1,1,1,1,1,1,15,16,15,16,20,20,9,178,74,20,10,6600,7100,5750,129,1995/2/22,39,5,7,12.8,13.5,14.3,12.7,14,7,11.5,2,12.8,13.5,11.5,2.5,1,2,3
Chris Mepham,Bournemouth,D C,25,130,145,"Wales,England",Bournemouth,,4,5,11,7,12,5,13,4,4,13,12,4,15,13,12,15,14,13,14,11,13,16,6,12,6,15,14,14,12,9,14,15,14,12,13,15,13,5,14,3,6,2,3,2,1,1,2,3,2,1,2,2,12,14,4,14,14,15,15,16,1,1,20,1,1,1,1,1,1,1,1,1,1,1,191,75,10,20,6600,6600,5500,129,1997/11/5,40,0,14.3,12.8,12,9.7,8.7,12,14,14.3,2.5,12.8,12,14.3,2.5,1,1.5,2
Antoine Semenyo,Bournemouth,AM/S RL,23,128,145,"Ghana,England,Togo",Bournemouth,,7,11,14,12,11,7,9,11,4,5,11,10,7,12,14,10,12,14,8,13,9,12,17,8,14,7,9,11,16,15,13,9,12,16,11,14,11,14,15,11,14,3,2,2,1,3,3,2,3,3,3,3,11,13,11,14,12,11,7,6,1,1,1,1,1,1,1,12,1,12,18,1,18,20,178,63,8,20,6400,6250,4800,115,2000/1/7,8,2,6.3,13.3,16,13.7,13.3,12.3,9,10,2.5,13.3,16,10,2,1,3,3
Emiliano Marcondes,Bournemouth,AM/S LC,28,120,145,"Denmark,Brazil",Bournemouth,,12,12,14,14,14,12,6,13,6,4,13,12,4,15,13,14,10,13,10,13,11,12,16,6,13,5,8,12,13,14,12,11,11,13,12,8,10,12,14,12,13,3,2,1,3,1,3,3,2,1,3,1,13,16,10,13,9,13,10,12,1,1,1,1,1,1,1,7,14,7,16,20,13,17,182,76,11,20,6050,5950,4250,118,1995/3/9,0,0,4.3,11.5,13,14,13.3,14.3,8.5,10.8,2.5,11.5,13,10.8,1.5,3,2,2
Ryan Fredericks,Bournemouth,D/WB/M R,30,128,138,"England,Guyana,Scotland",Bournemouth,,5,14,13,7,9,6,10,7,12,11,12,6,13,11,14,12,10,11,12,8,12,12,14,10,14,10,12,14,17,15,10,8,12,17,13,9,12,11,11,8,15,3,3,1,2,4,3,3,2,3,3,3,7,10,11,8,11,11,11,13,1,12,1,20,12,19,1,1,1,16,1,1,15,1,181,80,5,20,6400,6400,4750,114,1992/10/10,0,0,11.3,11.8,17,11.3,10.7,11,9,11.7,2.5,11.8,17,11.7,2,2,3.5,3
Philip Billing,Bournemouth,DM/M/AM C,27,137,137,"Denmark,Nigeria",Bournemouth,,6,10,12,13,13,11,8,13,17,10,14,12,11,15,13,12,13,13,11,12,14,13,10,8,14,11,12,16,12,14,13,15,16,13,15,14,12,6,12,8,13,4,3,3,2,1,1,3,1,2,2,1,11,13,12,8,11,10,9,12,1,1,12,1,1,1,17,10,20,10,1,19,1,1,196,88,20,10,6800,6250,5850,135,1996/6/11,5,0,10.7,14,12.5,12,13.3,13.3,11.5,12.5,2,14,12.5,12.5,3,2,2.5,1
