Season,Rk,Club,GF/MP,GA/MP,Pts/MP
2023-2024,1,Liverpool,2.25,0.9375,2.31
2023-2024,2,Arsenal,2.0625,0.9375,2.25
2023-2024,3,Aston Villa,2.1875,1.25,2.19
2023-2024,4,Man City,2.375,1.125,2.06
2023-2024,5,Tottenham,2.0625,1.4375,1.88
2023-2024,6,Man United,1.125,1.3125,1.69
2023-2024,7,Newcastle,2.0625,1.3125,1.63
2023-2024,8,Brighton,2.0625,1.75,1.63
2023-2024,9,West Ham,1.625,1.875,1.5
2023-2024,10,Fulham,1.625,1.625,1.31
2023-2024,11,Brentford,1.4375,1.375,1.19
2023-2024,12,Chelsea,1.625,1.625,1.19
2023-2024,13,Wolves,1.3125,1.625,1.19
2023-2024,14,Bournemouth,1.3125,1.875,1.19
2023-2024,15,Crystal Palace,0.9375,1.4375,1
2023-2024,16,Nott'm Forest,1.0625,1.75,0.88
2023-2024,17,Everton,1.25,1.25,0.81
2023-2024,18,Luton,1.0625,2,0.56
2023-2024,19,Burnley,1,2.125,0.5
2023-2024,20,Sheffield United,0.75,2.5625,0.5
2022-2023,1,Man City,2.473684211,0.868421053,2.34
2022-2023,2,Arsenal,2.315789474,1.131578947,2.21
2022-2023,3,Man United,1.526315789,1.131578947,1.97
2022-2023,4,Newcastle,1.789473684,0.868421053,1.87
2022-2023,5,Liverpool,1.973684211,1.236842105,1.76
2022-2023,6,Brighton,1.894736842,1.394736842,1.63
2022-2023,7,Aston Villa,1.342105263,1.210526316,1.61
2022-2023,8,Tottenham,1.842105263,1.657894737,1.58
2022-2023,9,Brentford,1.526315789,1.210526316,1.55
2022-2023,10,Fulham,1.447368421,1.394736842,1.37
2022-2023,11,Crystal Palace,1.052631579,1.289473684,1.18
2022-2023,12,Chelsea,1,1.236842105,1.16
2022-2023,13,Wolves,0.815789474,1.526315789,1.08
2022-2023,14,West Ham,1.105263158,1.447368421,1.05
2022-2023,15,Bournemouth,0.973684211,1.868421053,1.03
2022-2023,16,Nott'm Forest,1,1.789473684,1
2022-2023,17,Everton,0.894736842,1.5,0.95
2022-2023,18,Leicester,1.342105263,1.789473684,0.89
2022-2023,19,Leeds,1.263157895,2.052631579,0.82
2022-2023,20,Southampton,0.947368421,1.921052632,0.66
2021-2022,1,Man City,2.605263158,0.684210526,2.45
2021-2022,2,Liverpool,2.473684211,0.684210526,2.42
2021-2022,3,Chelsea,2,0.868421053,1.95
2021-2022,4,Tottenham,1.815789474,1.052631579,1.87
2021-2022,5,Arsenal,1.605263158,1.263157895,1.82
2021-2022,6,Man United,1.5,1.5,1.53
